Round,Date,Team 1,FT,HT,Team 2,Year,Country,FT Team 1,FT Team 2,HT Team 1,HT Team 2,GGD,Team 1 (pts),Team 2 (pts)
19,(Fri) 26 Dec 2008 (W52),Liverpool FC ,3-0,1-0,Bolton Wanderers FC ,2008,ENG,3,0,1,0,3,3,0
19,(Fri) 26 Dec 2008 (W52),Manchester City FC ,5-1,4-0,Hull City AFC ,2008,ENG,5,1,4,0,4,3,0
19,(Fri) 26 Dec 2008 (W52),Middlesbrough FC ,0-1,0-0,Everton FC ,2008,ENG,0,1,0,0,1,0,3
19,(Fri) 26 Dec 2008 (W52),Portsmouth FC ,1-4,1-1,West Ham United FC ,2008,ENG,1,4,1,1,3,0,3
19,(Fri) 26 Dec 2008 (W52),Stoke City FC ,0-1,0-0,Manchester United FC ,2008,ENG,0,1,0,0,1,0,3
19,(Fri) 26 Dec 2008 (W52),Sunderland AFC ,0-0,0-0,Blackburn Rovers FC ,2008,ENG,0,0,0,0,0,1,1
19,(Fri) 26 Dec 2008 (W52),Tottenham Hotspur FC ,0-0,0-0,Fulham FC ,2008,ENG,0,0,0,0,0,1,1
19,(Fri) 26 Dec 2008 (W52),Wigan Athletic FC ,2-1,1-0,Newcastle United FC ,2008,ENG,2,1,1,0,1,3,0
19,(Sun) 28 Dec 2008 (W52),Arsenal FC ,1-0,0-0,Portsmouth FC ,2008,ENG,1,0,0,0,1,3,0
19,(Sun) 28 Dec 2008 (W52),Blackburn Rovers FC ,2-2,1-0,Manchester City FC ,2008,ENG,2,2,1,0,0,1,1
20,(Sun) 28 Dec 2008 (W52),Bolton Wanderers FC ,0-1,0-1,Wigan Athletic FC ,2008,ENG,0,1,0,1,1,0,3
20,(Sun) 28 Dec 2008 (W52),Everton FC ,3-0,2-0,Sunderland AFC ,2008,ENG,3,0,2,0,3,3,0
20,(Sun) 28 Dec 2008 (W52),Fulham FC ,2-2,1-0,Chelsea FC ,2008,ENG,2,2,1,0,0,1,1
20,(Sun) 28 Dec 2008 (W52),Newcastle United FC ,1-5,1-2,Liverpool FC ,2008,ENG,1,5,1,2,4,0,3
20,(Sun) 28 Dec 2008 (W52),West Bromwich Albion FC ,2-0,0-0,Tottenham Hotspur FC ,2008,ENG,2,0,0,0,2,3,0
20,(Sun) 28 Dec 2008 (W52),West Ham United FC ,2-1,0-1,Stoke City FC ,2008,ENG,2,1,0,1,1,3,0
20,(Mon) 29 Dec 2008 (W1),Manchester United FC ,1-0,0-0,Middlesbrough FC ,2008,ENG,1,0,0,0,1,3,0
20,(Tue) 30 Dec 2008 (W1),Hull City AFC ,0-1,0-0,Aston Villa FC ,2008,ENG,0,1,0,0,1,0,3
20,(Sat) 10 Jan 2009 (W2),Arsenal FC ,1-0,0-0,Bolton Wanderers FC ,2008,ENG,1,0,0,0,1,3,0
20,(Sat) 10 Jan 2009 (W2),Aston Villa FC ,2-1,2-0,West Bromwich Albion FC ,2008,ENG,2,1,2,0,1,3,0
21,(Sat) 10 Jan 2009 (W2),Everton FC ,2-0,2-0,Hull City AFC ,2008,ENG,2,0,2,0,2,3,0
21,(Sat) 10 Jan 2009 (W2),Middlesbrough FC ,1-1,1-0,Sunderland AFC ,2008,ENG,1,1,1,0,0,1,1
21,(Sat) 10 Jan 2009 (W2),Newcastle United FC ,2-2,1-1,West Ham United FC ,2008,ENG,2,2,1,1,0,1,1
21,(Sat) 10 Jan 2009 (W2),Stoke City FC ,0-0,0-0,Liverpool FC ,2008,ENG,0,0,0,0,0,1,1
21,(Sun) 11 Jan 2009 (W2),Manchester United FC ,3-0,1-0,Chelsea FC ,2008,ENG,3,0,1,0,3,3,0
21,(Sun) 11 Jan 2009 (W2),Wigan Athletic FC ,1-0,0-0,Tottenham Hotspur FC ,2008,ENG,1,0,0,0,1,3,0
21,(Wed) 14 Jan 2009 (W3),Manchester United FC ,1-0,1-0,Wigan Athletic FC ,2008,ENG,1,0,1,0,1,3,0
21,(Sat) 17 Jan 2009 (W3),Blackburn Rovers FC ,3-0,0-0,Newcastle United FC ,2008,ENG,3,0,0,0,3,3,0
21,(Sat) 17 Jan 2009 (W3),Bolton Wanderers FC ,0-1,0-0,Manchester United FC ,2008,ENG,0,1,0,0,1,0,3
21,(Sat) 17 Jan 2009 (W3),Chelsea FC ,2-1,0-0,Stoke City FC ,2008,ENG,2,1,0,0,1,3,0
22,(Sat) 17 Jan 2009 (W3),Hull City AFC ,1-3,0-1,Arsenal FC ,2008,ENG,1,3,0,1,2,0,3
22,(Sat) 17 Jan 2009 (W3),Manchester City FC ,1-0,0-0,Wigan Athletic FC ,2008,ENG,1,0,0,0,1,3,0
22,(Sat) 17 Jan 2009 (W3),Sunderland AFC ,1-2,1-0,Aston Villa FC ,2008,ENG,1,2,1,0,1,0,3
22,(Sat) 17 Jan 2009 (W3),West Bromwich Albion FC ,3-0,1-0,Middlesbrough FC ,2008,ENG,3,0,1,0,3,3,0
22,(Sun) 18 Jan 2009 (W3),Tottenham Hotspur FC ,1-1,0-0,Portsmouth FC ,2008,ENG,1,1,0,0,0,1,1
22,(Sun) 18 Jan 2009 (W3),West Ham United FC ,3-1,1-1,Fulham FC ,2008,ENG,3,1,1,1,2,3,0
22,(Mon) 19 Jan 2009 (W4),Liverpool FC ,1-1,0-0,Everton FC ,2008,ENG,1,1,0,0,0,1,1
22,(Tue) 27 Jan 2009 (W5),Portsmouth FC ,0-1,0-1,Aston Villa FC ,2008,ENG,0,1,0,1,1,0,3
22,(Tue) 27 Jan 2009 (W5),Sunderland AFC ,1-0,0-0,Fulham FC ,2008,ENG,1,0,0,0,1,3,0
22,(Tue) 27 Jan 2009 (W5),Tottenham Hotspur FC ,3-1,3-0,Stoke City FC ,2008,ENG,3,1,3,0,2,3,0
23,(Tue) 27 Jan 2009 (W5),West Bromwich Albion FC ,0-5,0-2,Manchester United FC ,2008,ENG,0,5,0,2,5,0,3
23,(Wed) 28 Jan 2009 (W5),Blackburn Rovers FC ,2-2,0-2,Bolton Wanderers FC ,2008,ENG,2,2,0,2,0,1,1
23,(Wed) 28 Jan 2009 (W5),Chelsea FC ,2-0,0-0,Middlesbrough FC ,2008,ENG,2,0,0,0,2,3,0
23,(Wed) 28 Jan 2009 (W5),Everton FC ,1-1,0-0,Arsenal FC ,2008,ENG,1,1,0,0,0,1,1
23,(Wed) 28 Jan 2009 (W5),Manchester City FC ,2-1,1-0,Newcastle United FC ,2008,ENG,2,1,1,0,1,3,0
23,(Wed) 28 Jan 2009 (W5),West Ham United FC ,2-0,1-0,Hull City AFC ,2008,ENG,2,0,1,0,2,3,0
23,(Wed) 28 Jan 2009 (W5),Wigan Athletic FC ,1-1,0-1,Liverpool FC ,2008,ENG,1,1,0,1,0,1,1
23,(Sat) 31 Jan 2009 (W5),Arsenal FC ,0-0,0-0,West Ham United FC ,2008,ENG,0,0,0,0,0,1,1
23,(Sat) 31 Jan 2009 (W5),Aston Villa FC ,0-0,0-0,Wigan Athletic FC ,2008,ENG,0,0,0,0,0,1,1
23,(Sat) 31 Jan 2009 (W5),Bolton Wanderers FC ,3-2,1-0,Tottenham Hotspur FC ,2008,ENG,3,2,1,0,1,3,0
24,(Sat) 31 Jan 2009 (W5),Fulham FC ,3-1,1-0,Portsmouth FC ,2008,ENG,3,1,1,0,2,3,0
24,(Sat) 31 Jan 2009 (W5),Hull City AFC ,2-2,1-0,West Bromwich Albion FC ,2008,ENG,2,2,1,0,0,1,1
24,(Sat) 31 Jan 2009 (W5),Manchester United FC ,1-0,1-0,Everton FC ,2008,ENG,1,0,1,0,1,3,0
24,(Sat) 31 Jan 2009 (W5),Middlesbrough FC ,0-0,0-0,Blackburn Rovers FC ,2008,ENG,0,0,0,0,0,1,1
24,(Sat) 31 Jan 2009 (W5),Stoke City FC ,1-0,1-0,Manchester City FC ,2008,ENG,1,0,1,0,1,3,0
24,(Sun) 1 Feb 2009 (W5),Liverpool FC ,2-0,0-0,Chelsea FC ,2008,ENG,2,0,0,0,2,3,0
24,(Sun) 1 Feb 2009 (W5),Newcastle United FC ,1-1,0-1,Sunderland AFC ,2008,ENG,1,1,0,1,0,1,1
24,(Sat) 7 Feb 2009 (W6),Blackburn Rovers FC ,0-2,0-1,Aston Villa FC ,2008,ENG,0,2,0,1,2,0,3
24,(Sat) 7 Feb 2009 (W6),Chelsea FC ,0-0,0-0,Hull City AFC ,2008,ENG,0,0,0,0,0,1,1
24,(Sat) 7 Feb 2009 (W6),Everton FC ,3-0,1-0,Bolton Wanderers FC ,2008,ENG,3,0,1,0,3,3,0
25,(Sat) 7 Feb 2009 (W6),Manchester City FC ,1-0,0-0,Middlesbrough FC ,2008,ENG,1,0,0,0,1,3,0
25,(Sat) 7 Feb 2009 (W6),Portsmouth FC ,2-3,0-0,Liverpool FC ,2008,ENG,2,3,0,0,1,0,3
25,(Sat) 7 Feb 2009 (W6),Sunderland AFC ,2-0,0-0,Stoke City FC ,2008,ENG,2,0,0,0,2,3,0
25,(Sat) 7 Feb 2009 (W6),West Bromwich Albion FC ,2-3,1-3,Newcastle United FC ,2008,ENG,2,3,1,3,1,0,3
25,(Sat) 7 Feb 2009 (W6),Wigan Athletic FC ,0-0,0-0,Fulham FC ,2008,ENG,0,0,0,0,0,1,1
25,(Sun) 8 Feb 2009 (W6),Tottenham Hotspur FC ,0-0,0-0,Arsenal FC ,2008,ENG,0,0,0,0,0,1,1
25,(Sun) 8 Feb 2009 (W6),West Ham United FC ,0-1,0-0,Manchester United FC ,2008,ENG,0,1,0,0,1,0,3
25,(Sat) 14 Feb 2009 (W7),Portsmouth FC ,2-0,0-0,Manchester City FC ,2008,ENG,2,0,0,0,2,3,0
25,(Wed) 18 Feb 2009 (W8),Manchester United FC ,3-0,2-0,Fulham FC ,2008,ENG,3,0,2,0,3,3,0
25,(Sat) 21 Feb 2009 (W8),Arsenal FC ,0-0,0-0,Sunderland AFC ,2008,ENG,0,0,0,0,0,1,1
26,(Sat) 21 Feb 2009 (W8),Aston Villa FC ,0-1,0-1,Chelsea FC ,2008,ENG,0,1,0,1,1,0,3
26,(Sat) 21 Feb 2009 (W8),Bolton Wanderers FC ,2-1,2-0,West Ham United FC ,2008,ENG,2,1,2,0,1,3,0
26,(Sat) 21 Feb 2009 (W8),Manchester United FC ,2-1,1-1,Blackburn Rovers FC ,2008,ENG,2,1,1,1,1,3,0
26,(Sat) 21 Feb 2009 (W8),Middlesbrough FC ,0-0,0-0,Wigan Athletic FC ,2008,ENG,0,0,0,0,0,1,1
26,(Sat) 21 Feb 2009 (W8),Stoke City FC ,2-2,0-0,Portsmouth FC ,2008,ENG,2,2,0,0,0,1,1
26,(Sun) 22 Feb 2009 (W8),Fulham FC ,2-0,0-0,West Bromwich Albion FC ,2008,ENG,2,0,0,0,2,3,0
26,(Sun) 22 Feb 2009 (W8),Liverpool FC ,1-1,0-0,Manchester City FC ,2008,ENG,1,1,0,0,0,1,1
26,(Sun) 22 Feb 2009 (W8),Newcastle United FC ,0-0,0-0,Everton FC ,2008,ENG,0,0,0,0,0,1,1
26,(Mon) 23 Feb 2009 (W9),Hull City AFC ,1-2,1-1,Tottenham Hotspur FC ,2008,ENG,1,2,1,1,1,0,3
26,(Sat) 28 Feb 2009 (W9),Arsenal FC ,0-0,0-0,Fulham FC ,2008,ENG,0,0,0,0,0,1,1
27,(Sat) 28 Feb 2009 (W9),Chelsea FC ,2-1,1-0,Wigan Athletic FC ,2008,ENG,2,1,1,0,1,3,0
27,(Sat) 28 Feb 2009 (W9),Everton FC ,2-0,1-0,West Bromwich Albion FC ,2008,ENG,2,0,1,0,2,3,0
27,(Sat) 28 Feb 2009 (W9),Middlesbrough FC ,2-0,1-0,Liverpool FC ,2008,ENG,2,0,1,0,2,3,0
27,(Sun) 1 Mar 2009 (W9),Aston Villa FC ,2-2,1-0,Stoke City FC ,2008,ENG,2,2,1,0,0,1,1
27,(Sun) 1 Mar 2009 (W9),Bolton Wanderers FC ,1-0,0-0,Newcastle United FC ,2008,ENG,1,0,0,0,1,3,0
27,(Sun) 1 Mar 2009 (W9),Hull City AFC ,1-2,0-2,Blackburn Rovers FC ,2008,ENG,1,2,0,2,1,0,3
27,(Sun) 1 Mar 2009 (W9),West Ham United FC ,1-0,0-0,Manchester City FC ,2008,ENG,1,0,0,0,1,3,0
27,(Tue) 3 Mar 2009 (W10),Liverpool FC ,2-0,0-0,Sunderland AFC ,2008,ENG,2,0,0,0,2,3,0
27,(Tue) 3 Mar 2009 (W10),Portsmouth FC ,0-1,0-0,Chelsea FC ,2008,ENG,0,1,0,0,1,0,3
27,(Tue) 3 Mar 2009 (W10),West Bromwich Albion FC ,1-3,1-3,Arsenal FC ,2008,ENG,1,3,1,3,2,0,3
28,(Wed) 4 Mar 2009 (W10),Blackburn Rovers FC ,0-0,0-0,Everton FC ,2008,ENG,0,0,0,0,0,1,1
28,(Wed) 4 Mar 2009 (W10),Fulham FC ,0-1,0-0,Hull City AFC ,2008,ENG,0,1,0,0,1,0,3
28,(Wed) 4 Mar 2009 (W10),Manchester City FC ,2-0,1-0,Aston Villa FC ,2008,ENG,2,0,1,0,2,3,0
28,(Wed) 4 Mar 2009 (W10),Newcastle United FC ,1-2,1-1,Manchester United FC ,2008,ENG,1,2,1,1,1,0,3
28,(Wed) 4 Mar 2009 (W10),Stoke City FC ,2-0,1-0,Bolton Wanderers FC ,2008,ENG,2,0,1,0,2,3,0
28,(Wed) 4 Mar 2009 (W10),Tottenham Hotspur FC ,4-0,3-0,Middlesbrough FC ,2008,ENG,4,0,3,0,4,3,0
28,(Wed) 4 Mar 2009 (W10),Wigan Athletic FC ,0-1,0-1,West Ham United FC ,2008,ENG,0,1,0,1,1,0,3
28,(Sat) 7 Mar 2009 (W10),Sunderland AFC ,1-1,1-0,Tottenham Hotspur FC ,2008,ENG,1,1,1,0,0,1,1
28,(Wed) 11 Mar 2009 (W11),Fulham FC ,1-2,1-0,Blackburn Rovers FC ,2008,ENG,1,2,1,0,1,0,3
28,(Sat) 14 Mar 2009 (W11),Arsenal FC ,4-0,1-0,Blackburn Rovers FC ,2008,ENG,4,0,1,0,4,3,0
29,(Sat) 14 Mar 2009 (W11),Bolton Wanderers FC ,1-3,1-1,Fulham FC ,2008,ENG,1,3,1,1,2,0,3
29,(Sat) 14 Mar 2009 (W11),Everton FC ,3-1,2-0,Stoke City FC ,2008,ENG,3,1,2,0,2,3,0
29,(Sat) 14 Mar 2009 (W11),Hull City AFC ,1-1,1-1,Newcastle United FC ,2008,ENG,1,1,1,1,0,1,1
29,(Sat) 14 Mar 2009 (W11),Manchester United FC ,1-4,1-2,Liverpool FC ,2008,ENG,1,4,1,2,3,0,3
29,(Sat) 14 Mar 2009 (W11),Middlesbrough FC ,1-1,0-1,Portsmouth FC ,2008,ENG,1,1,0,1,0,1,1
29,(Sat) 14 Mar 2009 (W11),Sunderland AFC ,1-2,1-2,Wigan Athletic FC ,2008,ENG,1,2,1,2,1,0,3
29,(Sun) 15 Mar 2009 (W11),Aston Villa FC ,1-2,0-1,Tottenham Hotspur FC ,2008,ENG,1,2,0,1,1,0,3
29,(Sun) 15 Mar 2009 (W11),Chelsea FC ,1-0,1-0,Manchester City FC ,2008,ENG,1,0,1,0,1,3,0
29,(Mon) 16 Mar 2009 (W12),West Ham United FC ,0-0,0-0,West Bromwich Albion FC ,2008,ENG,0,0,0,0,0,1,1
29,(Sat) 21 Mar 2009 (W12),Blackburn Rovers FC ,1-1,0-1,West Ham United FC ,2008,ENG,1,1,0,1,0,1,1
30,(Sat) 21 Mar 2009 (W12),Fulham FC ,2-0,1-0,Manchester United FC ,2008,ENG,2,0,1,0,2,3,0
30,(Sat) 21 Mar 2009 (W12),Newcastle United FC ,1-3,0-0,Arsenal FC ,2008,ENG,1,3,0,0,2,0,3
30,(Sat) 21 Mar 2009 (W12),Portsmouth FC ,2-1,1-1,Everton FC ,2008,ENG,2,1,1,1,1,3,0
30,(Sat) 21 Mar 2009 (W12),Stoke City FC ,1-0,0-0,Middlesbrough FC ,2008,ENG,1,0,0,0,1,3,0
30,(Sat) 21 Mar 2009 (W12),Tottenham Hotspur FC ,1-0,0-0,Chelsea FC ,2008,ENG,1,0,0,0,1,3,0
30,(Sat) 21 Mar 2009 (W12),West Bromwich Albion FC ,1-1,0-0,Bolton Wanderers FC ,2008,ENG,1,1,0,0,0,1,1
30,(Sun) 22 Mar 2009 (W12),Liverpool FC ,5-0,3-0,Aston Villa FC ,2008,ENG,5,0,3,0,5,3,0
30,(Sun) 22 Mar 2009 (W12),Manchester City FC ,1-0,0-0,Sunderland AFC ,2008,ENG,1,0,0,0,1,3,0
30,(Sun) 22 Mar 2009 (W12),Wigan Athletic FC ,1-0,0-0,Hull City AFC ,2008,ENG,1,0,0,0,1,3,0
30,(Sat) 4 Apr 2009 (W14),Arsenal FC ,2-0,1-0,Manchester City FC ,2008,ENG,2,0,1,0,2,3,0
31,(Sat) 4 Apr 2009 (W14),Blackburn Rovers FC ,2-1,0-1,Tottenham Hotspur FC ,2008,ENG,2,1,0,1,1,3,0
31,(Sat) 4 Apr 2009 (W14),Bolton Wanderers FC ,4-1,2-1,Middlesbrough FC ,2008,ENG,4,1,2,1,3,3,0
31,(Sat) 4 Apr 2009 (W14),Fulham FC ,0-1,0-0,Liverpool FC ,2008,ENG,0,1,0,0,1,0,3
31,(Sat) 4 Apr 2009 (W14),Hull City AFC ,0-0,0-0,Portsmouth FC ,2008,ENG,0,0,0,0,0,1,1
31,(Sat) 4 Apr 2009 (W14),Newcastle United FC ,0-2,0-0,Chelsea FC ,2008,ENG,0,2,0,0,2,0,3
31,(Sat) 4 Apr 2009 (W14),West Bromwich Albion FC ,0-2,0-1,Stoke City FC ,2008,ENG,0,2,0,1,2,0,3
31,(Sat) 4 Apr 2009 (W14),West Ham United FC ,2-0,1-0,Sunderland AFC ,2008,ENG,2,0,1,0,2,3,0
31,(Sun) 5 Apr 2009 (W14),Everton FC ,4-0,1-0,Wigan Athletic FC ,2008,ENG,4,0,1,0,4,3,0
31,(Sun) 5 Apr 2009 (W14),Manchester United FC ,3-2,1-1,Aston Villa FC ,2008,ENG,3,2,1,1,1,3,0
31,(Sat) 11 Apr 2009 (W15),Chelsea FC ,4-3,1-0,Bolton Wanderers FC ,2008,ENG,4,3,1,0,1,3,0
32,(Sat) 11 Apr 2009 (W15),Liverpool FC ,4-0,2-0,Blackburn Rovers FC ,2008,ENG,4,0,2,0,4,3,0
32,(Sat) 11 Apr 2009 (W15),Middlesbrough FC ,3-1,2-1,Hull City AFC ,2008,ENG,3,1,2,1,2,3,0
32,(Sat) 11 Apr 2009 (W15),Portsmouth FC ,2-2,1-0,West Bromwich Albion FC ,2008,ENG,2,2,1,0,0,1,1
32,(Sat) 11 Apr 2009 (W15),Stoke City FC ,1-1,1-0,Newcastle United FC ,2008,ENG,1,1,1,0,0,1,1
32,(Sat) 11 Apr 2009 (W15),Sunderland AFC ,1-2,0-1,Manchester United FC ,2008,ENG,1,2,0,1,1,0,3
32,(Sat) 11 Apr 2009 (W15),Tottenham Hotspur FC ,1-0,0-0,West Ham United FC ,2008,ENG,1,0,0,0,1,3,0
32,(Sat) 11 Apr 2009 (W15),Wigan Athletic FC ,1-4,1-0,Arsenal FC ,2008,ENG,1,4,1,0,3,0,3
32,(Sun) 12 Apr 2009 (W15),Aston Villa FC ,3-3,1-2,Everton FC ,2008,ENG,3,3,1,2,0,1,1
32,(Sun) 12 Apr 2009 (W15),Manchester City FC ,1-3,1-0,Fulham FC ,2008,ENG,1,3,1,0,2,0,3
32,(Sat) 18 Apr 2009 (W16),Aston Villa FC ,1-1,1-0,West Ham United FC ,2008,ENG,1,1,1,0,0,1,1
33,(Sat) 18 Apr 2009 (W16),Middlesbrough FC ,0-0,0-0,Fulham FC ,2008,ENG,0,0,0,0,0,1,1
33,(Sat) 18 Apr 2009 (W16),Portsmouth FC ,1-0,0-0,Bolton Wanderers FC ,2008,ENG,1,0,0,0,1,3,0
33,(Sat) 18 Apr 2009 (W16),Stoke City FC ,1-0,0-0,Blackburn Rovers FC ,2008,ENG,1,0,0,0,1,3,0
33,(Sat) 18 Apr 2009 (W16),Sunderland AFC ,1-0,1-0,Hull City AFC ,2008,ENG,1,0,1,0,1,3,0
33,(Sun) 19 Apr 2009 (W16),Manchester City FC ,4-2,2-1,West Bromwich Albion FC ,2008,ENG,4,2,2,1,2,3,0
33,(Sun) 19 Apr 2009 (W16),Tottenham Hotspur FC ,1-0,1-0,Newcastle United FC ,2008,ENG,1,0,1,0,1,3,0
33,(Tue) 21 Apr 2009 (W17),Liverpool FC ,4-4,0-1,Arsenal FC ,2008,ENG,4,4,0,1,0,1,1
33,(Wed) 22 Apr 2009 (W17),Chelsea FC ,0-0,0-0,Everton FC ,2008,ENG,0,0,0,0,0,1,1
33,(Wed) 22 Apr 2009 (W17),Manchester United FC ,2-0,1-0,Portsmouth FC ,2008,ENG,2,0,1,0,2,3,0
33,(Sat) 25 Apr 2009 (W17),Bolton Wanderers FC ,1-1,0-1,Aston Villa FC ,2008,ENG,1,1,0,1,0,1,1
34,(Sat) 25 Apr 2009 (W17),Everton FC ,1-2,0-1,Manchester City FC ,2008,ENG,1,2,0,1,1,0,3
34,(Sat) 25 Apr 2009 (W17),Fulham FC ,1-0,1-0,Stoke City FC ,2008,ENG,1,0,1,0,1,3,0
34,(Sat) 25 Apr 2009 (W17),Hull City AFC ,1-3,0-1,Liverpool FC ,2008,ENG,1,3,0,1,2,0,3
34,(Sat) 25 Apr 2009 (W17),Manchester United FC ,5-2,0-2,Tottenham Hotspur FC ,2008,ENG,5,2,0,2,3,3,0
34,(Sat) 25 Apr 2009 (W17),West Bromwich Albion FC ,3-0,1-0,Sunderland AFC ,2008,ENG,3,0,1,0,3,3,0
34,(Sat) 25 Apr 2009 (W17),West Ham United FC ,0-1,0-0,Chelsea FC ,2008,ENG,0,1,0,0,1,0,3
34,(Sun) 26 Apr 2009 (W17),Arsenal FC ,2-0,1-0,Middlesbrough FC ,2008,ENG,2,0,1,0,2,3,0
34,(Sun) 26 Apr 2009 (W17),Blackburn Rovers FC ,2-0,1-0,Wigan Athletic FC ,2008,ENG,2,0,1,0,2,3,0
34,(Mon) 27 Apr 2009 (W18),Newcastle United FC ,0-0,0-0,Portsmouth FC ,2008,ENG,0,0,0,0,0,1,1
34,(Sat) 2 May 2009 (W18),Chelsea FC ,3-1,2-1,Fulham FC ,2008,ENG,3,1,2,1,2,3,0
35,(Sat) 2 May 2009 (W18),Manchester City FC ,3-1,3-0,Blackburn Rovers FC ,2008,ENG,3,1,3,0,2,3,0
35,(Sat) 2 May 2009 (W18),Middlesbrough FC ,0-2,0-1,Manchester United FC ,2008,ENG,0,2,0,1,2,0,3
35,(Sat) 2 May 2009 (W18),Portsmouth FC ,0-3,0-2,Arsenal FC ,2008,ENG,0,3,0,2,3,0,3
35,(Sat) 2 May 2009 (W18),Stoke City FC ,0-1,0-1,West Ham United FC ,2008,ENG,0,1,0,1,1,0,3
35,(Sat) 2 May 2009 (W18),Tottenham Hotspur FC ,1-0,1-0,West Bromwich Albion FC ,2008,ENG,1,0,1,0,1,3,0
35,(Sat) 2 May 2009 (W18),Wigan Athletic FC ,0-0,0-0,Bolton Wanderers FC ,2008,ENG,0,0,0,0,0,1,1
35,(Sun) 3 May 2009 (W18),Liverpool FC ,3-0,2-0,Newcastle United FC ,2008,ENG,3,0,2,0,3,3,0
35,(Sun) 3 May 2009 (W18),Sunderland AFC ,0-2,0-0,Everton FC ,2008,ENG,0,2,0,0,2,0,3
35,(Mon) 4 May 2009 (W19),Aston Villa FC ,1-0,1-0,Hull City AFC ,2008,ENG,1,0,1,0,1,3,0
35,(Sat) 9 May 2009 (W19),Blackburn Rovers FC ,2-0,1-0,Portsmouth FC ,2008,ENG,2,0,1,0,2,3,0
36,(Sat) 9 May 2009 (W19),Bolton Wanderers FC ,0-0,0-0,Sunderland AFC ,2008,ENG,0,0,0,0,0,1,1
36,(Sat) 9 May 2009 (W19),Everton FC ,0-0,0-0,Tottenham Hotspur FC ,2008,ENG,0,0,0,0,0,1,1
36,(Sat) 9 May 2009 (W19),Fulham FC ,3-1,1-1,Aston Villa FC ,2008,ENG,3,1,1,1,2,3,0
36,(Sat) 9 May 2009 (W19),Hull City AFC ,1-2,0-1,Stoke City FC ,2008,ENG,1,2,0,1,1,0,3
36,(Sat) 9 May 2009 (W19),West Bromwich Albion FC ,3-1,1-1,Wigan Athletic FC ,2008,ENG,3,1,1,1,2,3,0
36,(Sat) 9 May 2009 (W19),West Ham United FC ,0-3,0-2,Liverpool FC ,2008,ENG,0,3,0,2,3,0,3
36,(Sun) 10 May 2009 (W19),Arsenal FC ,1-4,0-2,Chelsea FC ,2008,ENG,1,4,0,2,3,0,3
36,(Sun) 10 May 2009 (W19),Manchester United FC ,2-0,2-0,Manchester City FC ,2008,ENG,2,0,2,0,2,3,0
36,(Mon) 11 May 2009 (W20),Newcastle United FC ,3-1,1-1,Middlesbrough FC ,2008,ENG,3,1,1,1,2,3,0
36,(Wed) 13 May 2009 (W20),Wigan Athletic FC ,1-2,1-0,Manchester United FC ,2008,ENG,1,2,1,0,1,0,3
37,(Sat) 16 May 2009 (W20),Bolton Wanderers FC ,1-1,1-0,Hull City AFC ,2008,ENG,1,1,1,0,0,1,1
37,(Sat) 16 May 2009 (W20),Everton FC ,3-1,1-1,West Ham United FC ,2008,ENG,3,1,1,1,2,3,0
37,(Sat) 16 May 2009 (W20),Manchester United FC ,0-0,0-0,Arsenal FC ,2008,ENG,0,0,0,0,0,1,1
37,(Sat) 16 May 2009 (W20),Middlesbrough FC ,1-1,1-0,Aston Villa FC ,2008,ENG,1,1,1,0,0,1,1
37,(Sat) 16 May 2009 (W20),Newcastle United FC ,0-1,0-1,Fulham FC ,2008,ENG,0,1,0,1,1,0,3
37,(Sat) 16 May 2009 (W20),Stoke City FC ,2-0,0-0,Wigan Athletic FC ,2008,ENG,2,0,0,0,2,3,0
37,(Sat) 16 May 2009 (W20),Tottenham Hotspur FC ,2-1,1-0,Manchester City FC ,2008,ENG,2,1,1,0,1,3,0
37,(Sun) 17 May 2009 (W20),Chelsea FC ,2-0,1-0,Blackburn Rovers FC ,2008,ENG,2,0,1,0,2,3,0
37,(Sun) 17 May 2009 (W20),West Bromwich Albion FC ,0-2,0-1,Liverpool FC ,2008,ENG,0,2,0,1,2,0,3
37,(Mon) 18 May 2009 (W21),Portsmouth FC ,3-1,0-0,Sunderland AFC ,2008,ENG,3,1,0,0,2,3,0
38,(Sun) 24 May 2009 (W21),Arsenal FC ,4-1,4-1,Stoke City FC ,2008,ENG,4,1,4,1,3,3,0
38,(Sun) 24 May 2009 (W21),Aston Villa FC ,1-0,1-0,Newcastle United FC ,2008,ENG,1,0,1,0,1,3,0
38,(Sun) 24 May 2009 (W21),Blackburn Rovers FC ,0-0,0-0,West Bromwich Albion FC ,2008,ENG,0,0,0,0,0,1,1
38,(Sun) 24 May 2009 (W21),Fulham FC ,0-2,0-1,Everton FC ,2008,ENG,0,2,0,1,2,0,3
38,(Sun) 24 May 2009 (W21),Hull City AFC ,0-1,0-1,Manchester United FC ,2008,ENG,0,1,0,1,1,0,3
38,(Sun) 24 May 2009 (W21),Liverpool FC ,3-1,1-0,Tottenham Hotspur FC ,2008,ENG,3,1,1,0,2,3,0
38,(Sun) 24 May 2009 (W21),Manchester City FC ,1-0,1-0,Bolton Wanderers FC ,2008,ENG,1,0,1,0,1,3,0
38,(Sun) 24 May 2009 (W21),Sunderland AFC ,2-3,0-0,Chelsea FC ,2008,ENG,2,3,0,0,1,0,3
38,(Sun) 24 May 2009 (W21),West Ham United FC ,2-1,1-0,Middlesbrough FC ,2008,ENG,2,1,1,0,1,3,0
